Well #,Conc1,Units1,Salt1,Conc2,Units2,Salt2,Conc3,Units3,Salt3,Conc4,Units4,Salt4,Conc5,Units5,Buffer5,pH,Conc6,Units6,Precipitant6,Conc7,Units7,Precipitant7
C3,0.2,M,Ammonium nitrate,,,,,,,,,,,,None,-,20,% w/v,PEG 3350,,,
C4,,,None,,,,,,,,,,0.1,M,HEPES ,"7,0",10,% w/v,PEG 6000,,,
C5,0.8,M,Sodium phosphate monobasic monohydrate,0.8,M,Potassium phosphate monobasic,,,,,,,0.1,M,Sodium HEPES,7.5,,,None,,,
C6,,,None,,,,,,,,,,0.1,M,Phosphate/citrate,4.2,40,% v/v,PEG 300,,,
C7,0.2,M,Zinc acetate dihydrate,,,,,,,,,,0.1,M,Sodium acetate,4.5,10,% w/v,PEG 3000,,,
C8,,,None,,,,,,,,,,0.1,M,Tris,8.5,20,% v/v,Ethanol,,,
C9,,,None,,,,,,,,,,0.1,M,Sodium/potassium phosphate,6.2,25,% v/v,1.2-Propanediol,10,%v/v,Glycerol
C10,,,None,,,,,,,,,,0.1,M,BICINE,"9,0",10,% w/v,PEG 20.000,2,% v/v,1.4-Dioxane
C11,"2,0",M,Ammonium sulfate,,,,,,,,,,0.1,M,Sodium acetate,4.6,,,None,,,
C12,,,None,,,,,,,,,,,,None,-,10,% w/v,PEG 1000,10,% w/v,PEG 8000
D1,,,None,,,,,,,,,,,,None,-,24,% w/v,PEG 1500,20,% v/v,Glycerol
D2,0.2,M,Magnesium chloride hexahydrate,,,,,,,,,,0.1,M,Sodium HEPES,7.5,30,% v/v,PEG 400,,,
D3,0.2,M,Sodium chloride,,,,,,,,,,0.1,M,Sodium/potassium phosphate,6.2,50,% v/v,PEG 200,,,
D4,0.2,M,Lithium sulfate,,,,,,,,,,0.1,M,Sodium acetate,4.5,30,% w/v,PEG 8000,,,
D5,,,None,,,,,,,,,,0.1,M,HEPES,7.5,70,% v/v,MPD,,,
D6,0.2,M,Magnesium chloride hexahydrate,,,,,,,,,,0.1,M,Tris,8.5,20,% w/v,PEG 8000,,,
D7,0.2,M,Lithium sulfate,,,,,,,,,,0.1,M,Tris,8.5,40,% v/v,PEG 400,,,
D8,,,None,,,,,,,,,,0.1,M,Tris,"8,0",40,% v/v,MPD,,,
D9,0.17,M,Ammonium sulfate,,,,,,,,,,,,None,-,25.5,% w/v,PEG 4000,15,% v/v,Glycerol
D10,0.2,M,Calcium acetate hydrate,,,,,,,,,,0.1,M,Sodium cacodylate,6.5,40,% v/v,PEG 300,,,
D11,0.14,M,Calcium chloride dihydrate,,,,,,,,,,0.07,M,Sodium acetate,4.6,14,% v/v,2-Propanol,30,% v/v,Glycerol
D12,0.04,M,Potassium phosphate monobasic,,,,,,,,,,,,None,-,16,% w/v,PEG 8000,20,% v/v,Glycerol
E1,"1,0",M,Sodium citrate tribasic dihydrate,,,,,,,,,,0.1,M,Sodium cacodylate,6.5,,,None,,,
E2,"2,0",M,Ammonium sulfate,0.2,M,Sodium chloride,,,,,,,0.1,M,Sodium cacodylate,6.5,,,None,,,
E3,0.2,M,Sodium chloride,,,,,,,,,,0.1,M,HEPES,7.5,10,% v/v,2-Propanol,,,
E4,1.26,M,Ammonium sulfate,0.2,M,Lithium sulfate,,,,,,,0.1,M,Tris,8.5,,,None,,,
E5,,,None,,,,,,,,,,0.1,M,CAPS,10.5,40,% v/v,MPD,,,
E6,0.2,M,Zinc acetate dihydrate,,,,,,,,,,0.1,M,Imidazole,"8,0",20,% w/v,PEG 3000,,,
E7,0.2,M,Zinc acetate dihydrate,,,,,,,,,,0.1,M,Sodium cacodylate,6.5,10,% v/v,2-Propanol,,,
E8,"1,0",M,Ammonium phosphate dibasic,,,,,,,,,,0.1,M,Sodium acetate,4.5,,,None,,,
E9,1.6,M,Magnesium sulfate heptahydrate,,,,,,,,,,0.1,M,MES,6.5,,,None,,,
E10,,,None,,,,,,,,,,0.1,M,BICINE,"9,0",10,% w/v,PEG 6000,,,
E11,0.16,M,Calcium acetate hydrate,,,,,,,,,,0.08,M,Sodium cacodylate,6.5,14.4,% w/v,PEG 8000,20,% v/v,Glycerol
E12,,,None,,,,,,,,,,0.1,M,Imidazole,"8,0",10,% w/v,PEG 8000,,,
F1,0.05,M,Cesium chloride,,,,,,,,,,0.1,M,MES,6.5,30,% v/v,Jeffamine® M-600,,,
F2,3.2,M,Ammonium sulfate,,,,,,,,,,0.1,M,Citrate,"5,0",,,None,,,
F3,,,None,,,,,,,,,,0.1,M,Tris,"8,0",20,% v/v,MPD,,,
F4,,,None,,,,,,,,,,0.1,M,HEPES,7.5,20,% v/v,Jeffamine® M-600,,,
F5,0.2,M,Magnesium chloride hexahydrate,,,,,,,,,,0.1,M,Tris,8.5,50,% v/v,Ethylene glycol,,,
F6,,,None,,,,,,,,,,0.1,M,BICINE,"9,0",10,% v/v,MPD,,,
F7,0.8,M,Succinic acid,,,,,,,,,,,,None,"7,0",,,None,,,
F8,2.1,M,DL-Malic acid,,,,,,,,,,,,None,"7,0",,,None,,,
F9,2.4,M,Sodium malonate dibasic monohydrate,,,,,,,,,,,,None,"7,0",,,None,,,
F10,1.1,M,Sodium malonate dibasic monohydrate,,,,,,,,,,0.1,M,HEPES,"7,0",0.5,% v/v,Jeffamine® ED-2003,,,
F11,"1,0",M,Succinic acid,,,,,,,,,,0.1,M,HEPES,"7,0",1,% w/v,PEG 2000 MME,,,
F12,,,None,,,,,,,,,,0.1,M,HEPES,"7,0",30,% v/v,Jeffamine® M-600,,,
G1,,,None,,,,,,,,,,0.1,M,HEPES,"7,0",30,% v/v,Jeffamine® ED-2003,,,
G2,0.02,M,Magnesium chloride hexahydrate,,,,,,,,,,0.1,M,HEPES,7.5,22,% w/v,Poly(acrylic acid sodium salt) 5100,,,
G3,0.01,M,Cobalt(II) chloride hexahydrate,,,,,,,,,,0.1,M,Tris,8.5,20,% w/v,Polyvinylpyrolidone,,,
G4,0.2,M,TMAO,,,,,,,,,,0.1,M,Tris,8.5,20,% w/v,PEG 2000 MME,,,
G5,0.005,M,Cobalt(II) chloride hexahydrate,0.005,M,Cadmium chloride hemi(pentahydrate),0.005,M,Magnesium chloride hexahydrate,0.005,M,Nickel(II) chloride hexahydrate,0.1,M,HEPES,7.5,12,% w/v,PEG 3350,,,
G6,0.2,M,Sodium malonate dibasic monohydrate,,,,,,,,,,,,None,-,20,% w/v,PEG 3350,,,
G7,0.1,M,Succinic acid,,,,,,,,,,,,None,-,15,% w/v,PEG 3350,,,
G8,0.15,M,DL-Malic acid,,,,,,,,,,,,None,-,20,% w/v,PEG 3350,,,
G9,0.1,M,Potassium thiocyanate,,,,,,,,,,,,None,-,30,% w/v,PEG 2000 MME,,,
G10,0.15,M,Potassium bromide,,,,,,,,,,,,None,-,30,% w/v,PEG 2000 MME,,,
G11,"2,0",M,Ammonium sulfate,,,,,,,,,,0.1,M,Bis-Tris,5.5,,,None,,,
G12,"3,0",M,Sodium chloride,,,,,,,,,,0.1,M,Bis-Tris,5.5,,,None,,,
H1,0.3,M,Magnesium formate dihydrate,,,,,,,,,,0.1,M,Bis-Tris,5.5,,,None,,,
H2,"1,0",M,Ammonium sulfate,,,,,,,,,,0.1,M,Bis-Tris,5.5,1,% w/v,PEG 3350,,,
H3,,,None,,,,,,,,,,0.1,M,Bis-Tris,5.5,25,% w/v,PEG 3350,,,
H4,0.2,M,Calcium chloride dihydrate,,,,,,,,,,0.1,M,Bis-Tris,5.5,45,% v/v,MPD,,,
H5,0.2,M,Ammonium acetate,,,,,,,,,,0.1,M,Bis-Tris,5.5,45,% v/v,MPD,,,
H6,0.1,M,Ammonium acetate,,,,,,,,,,0.1,M,Bis-Tris,5.5,17,% w/v,PEG 10.000,,,
H7,0.2,M,Ammonium sulfate,,,,,,,,,,0.1,M,Bis-Tris,5.5,25,% w/v,PEG 3350,,,
H8,0.2,M,Sodium chloride,,,,,,,,,,0.1,M,Bis-Tris,5.5,25,% w/v,PEG 3350,,,
H9,0.2,M,Lithium sulfate,,,,,,,,,,0.1,M,Bis-Tris,5.5,25,% w/v,PEG 3350,,,
H10,0.2,M,Ammonium acetate,,,,,,,,,,0.1,M,Bis-Tris,5.5,25,% w/v,PEG 3350,,,
H11,0.2,M,Magnesium chloride hexahydrate,,,,,,,,,,0.1,M,Bis-Tris,5.5,25,% w/v,PEG 3350,,,
H12,0.2,M,Ammonium acetate,,,,,,,,,,0.1,M,HEPES,7.5,45,% v/v,MPD,,,
