Number,Well,Salt,Buffer ,Precipitant 1,Precipitant 2
64,F4,,0.1 M HEPES pH 7.0,2.4 M Ammonium sulfate,
65,F5,,0.1 M TRIS pH 8.0,2.4 M Ammonium sulfate,
66,F6,,0.1 M BICINE pH 9.0,2.4 M Ammonium sulfate,
67,F7,,0.1 M Citric acid pH 4.0,3.2 M Ammonium sulfate,
68,F8,,0.1 M Citric acid pH 5.0,3.2 M Ammonium sulfate,
69,F9,,0.1 M MES pH 6.0,3.2 M Ammonium sulfate,
70,F10,,0.1 M HEPES pH 7.0,3.2 M Ammonium sulfate,
71,F11,,0.1 M TRIS pH 8.0,3.2 M Ammonium sulfate,
72,F12,,0.1 M BICINE pH 9.0,3.2 M Ammonium sulfate,
73,G1,0.1 M tri-Sodium citrate,,0.5 M Ammonium sulfate,1.0 M Lithium Sulfate
74,G2,,,1.0 M Ammonium sulfate,
75,G3,,0.1 M Sodium acetate pH 4.6,1.0 M Ammonium sulfate,
76,G4,,0.1 M HEPES sodium salt pH 7.5,1.0 M Ammonium sulfate,2 %(w/v) PEG 400
77,G5,,0.1 M TRIS.HCl pH 8.5,1.0 M Ammonium sulfate,
78,G6,0.05 M tri-Sodium citrate,,1.2 M Ammonium sulfate,3 %(w/v) Isopropanol
79,G7,,0.1 M TRIS.HCl pH 8.5,1.5 M Ammonium sulfate,15 %(w/v) Glycerol
80,G8,0.5 M Lithium chloride,,1.6 M Ammonium sulfate,
81,G9,1.0 M Lithium sulfate,,1.6 M Ammonium sulfate,
82,G10,0.2 M Sodium chloride,0.1 M HEPES sodium salt pH 7.5,1.6 M Ammonium sulfate,
83,G11,,0.1 M HEPES sodium salt pH 7.5,1.6 M Ammonium sulfate,2 %(w/v) PEG 1000
84,G12,,0.1 M MES sodium salt pH 6.5,1.8 M Ammonium sulfate,
85,H1,2.0 M Sodium chloride,,2.0 M Ammonium sulfate,
86,H2,,0.1 M Sodium acetate pH 4.6,2.0 M Ammonium sulfate,
87,H3,,0.1 M MES sodium salt pH 6.5,2.0 M Ammonium sulfate,5 %(w/v) PEG 400
88,H4,,0.1 M TRIS.HCl pH 8.5,2.0 M Ammonium sulfate,
89,H5,,,2.2 M Ammonium sulfate,
90,H6,,,2.2 M Ammonium sulfate,20 %(w/v) Glycerol
91,H7,0.1 M tri-Sodium citrate,,2.4 M Ammonium sulfate,
92,H8,,,3.0 M Ammonium sulfate,1 %(w/v) MPD
93,H9,,,3.0 M Ammonium sulfate,10 %(w/v) Glycerol
94,H10,,0.1 M HEPES sodium salt pH 7.5,3.5 M Ammonium sulfate,
95,H11,,0.1 M MES sodium salt pH 6.5,3.5 M Ammonium sulfate,1 %(w/v) MPD
96,H12,,,3.5 M Ammonium sulfate,
