CS-101L to 104L,Precipitant 1,Buffer,Additive 1,Additive 2,
H3,"2.00 % w/v Polyethylene glycol 8,000",1.00 M Lithium sulfate,None,None,None
H4,"4.00 % w/v Polyethylene glycol 8,000",None,None,None,None
H5,"8.00 % w/v Polyethylene glycol 8,000",200 mM Lithium chloride,None,50.00 mM Magnesium sulfate,None
H6,"8.00 % w/v Polyethylene glycol 8,000",None,100 mM TRIS; pH 8.5,None,None
H7,"10.00 % w/v Polyethylene glycol 8,000",None,100 mM MES; pH 6.5,200 mM Zinc acetate,None
H8,"10.00 % w/v Polyethylene glycol 8,000",None,100 mM HEPES; pH 7.5,200 mM Calcium acetate,None
H9,"10.00 % w/v Polyethylene glycol 8,000",None,None,100 mM Sodium acetate,50.00 mM Magnesium acetate
H10,"10.00 % w/v Polyethylene glycol 8,000",None,None,200 mM Magnesium acetate,None
H11,"10.00 % w/v Polyethylene glycol 8,000",10.00 % w/v Ethylene glycol,100 mM HEPES; pH 7.5,None,None
H12,"10.00 % w/v Polyethylene glycol 8,000","10.00 % w/v Polyethylene glycol 1,000",None,None,None
