Reagent,Well,[Additive],[Additive],Additive,Classification
54,E6,30,% w/v,D-(+)-Glucose monohydrate,Carbohydrate
55,E7,30,% w/v,Sucrose,Carbohydrate
56,E8,30,% w/v,Xylitol,Carbohydrate
57,E9,30,% w/v,D-Sorbitol,Carbohydrate
58,E10,12,% w/v,myo-Inositol,Carbohydrate
59,E11,30,% w/v,D-(+)-Trehalose dihydrate,Carbohydrate
60,E12,30,% w/v,D-(+)-Galactose,Carbohydrate
61,F1,30,% v/v,Ethylene glycol,Polyol
62,F2,30,% v/v,Glycerol,Polyol
63,F3,"3,0",M,NDSB-195,Non-detergent
64,F4,"2,0",M,NDSB-201,Non-detergent
65,F5,"2,0",M,NDSB-211,Non-detergent
66,F6,"2,0",M,NDSB-221,Non-detergent
67,F7,"1,0",M,NDSB-256,Non-detergent
68,F8,"0,15",mM,CYMAL®-7,Amphiphile
69,F9,20,% w/v,Benzamidine hydrochloride,Amphiphile
70,F10,5,% w/v,"n-Dodecyl-N,N-dimethylamine-N-oxide",Detergent
71,F11,5,% w/v,n-Octyl-β-D-glucoside,Detergent
72,F12,5,% w/v,n-Dodecyl-β-D-maltoside,Osmolyte
73,G1,30,% w/v,Trimethylamine N-oxide dihydrate,"Organic, Non-volatile"
74,G2,30,% w/v,"1,6-Hexanediol","Organic, Non-volatile"
75,G3,30,% v/v,"(+/-)-2-Methyl-2,4-pentanediol","Organic, Non-volatile"
76,G4,50,% v/v,Polyethylene glycol 400,"Organic, Non-volatile"
77,G5,50,% v/v,Jeffamine M-600 pH 7.0,"Organic, Non-volatile"
78,G6,40,% v/v,"2,5-Hexanediol","Organic, Non-volatile"
79,G7,40,% v/v,"(±)-1,3-Butanediol","Organic, Non-volatile"
80,G8,40,% v/v,Polypropylene glycol P 400,"Organic, Non-volatile"
81,G9,30,% v/v,"1,4-Dioxane","Organic, Volatile"
82,G10,30,% v/v,Ethanol,"Organic, Volatile"
83,G11,30,% v/v,2-Propanol,"Organic, Volatile"
84,G12,30,% v/v,Methanol,"Organic, Volatile"
85,H1,10,% v/v,"1,2-Butanediol","Organic, Volatile"
86,H2,40,% v/v,tert-Butanol,"Organic, Volatile"
87,H3,40,% v/v,"1,3-Propanediol","Organic, Volatile"
88,H4,40,% v/v,Acetonitrile,"Organic, Volatile"
89,H5,40,% v/v,Formamide,"Organic, Volatile"
90,H6,40,% v/v,1-Propanol,"Organic, Volatile"
91,H7,5,% v/v,Ethyl acetate,"Organic, Volatile"
92,H8,40,% v/v,Acetone,"Organic, Volatile"
93,H9,0.25,% v/v,Dichloromethane,"Organic, Volatile"
94,H10,7,% v/v,1-Butanol,"Organic, Volatile"
95,H11,40,% v/v,"2,2,2-Trifluoroethanol","Organic, Volatile"
96,H12,40,% v/v,"1,1,1,3,3,3-Hexafluoro-2-propanol","Organic, Volatile"
