Well #,Conc1,Units1,Salt 1,Conc2,Units2,Buffer2,pH,Conc3,Units3,Precipitant3
G10,0.02,M,Sodium/potassium phosphate,0.1,M,Bis-Tris propane,7.5,20,% w/v,PEG 3350
G11,0.2,M,Sodium citrate tribasic dihydrate,0.1,M,Bis-Tris propane,7.5,20,% w/v,PEG 3350
G12,0.2,M,Sodium malonate dibasic monohydrate,0.1,M,Bis-Tris propane,7.5,20,% w/v,PEG 3350
H1,0.2,M,Sodium fluoride,0.1,M,Bis-Tris propane,8.5,20,% w/v,PEG 3350
H2,0.2,M,Sodium bromide,0.1,M,Bis-Tris propane,8.5,20,% w/v,PEG 3350
H3,0.2,M,Sodium iodide,0.1,M,Bis-Tris propane,8.5,20,% w/v,PEG 3350
H4,0.2,M,Potassium thiocyanate,0.1,M,Bis-Tris propane,8.5,20,% w/v,PEG 3350
H5,0.2,M,Sodium nitrate,0.1,M,Bis-Tris propane,8.5,20,% w/v,PEG 3350
H6,0.2,M,Sodium formate,0.1,M,Bis-Tris propane,8.5,20,% w/v,PEG 3350
H7,0.2,M,Sodium acetate trihydrate,0.1,M,Bis-Tris propane,8.5,20,% w/v,PEG 3350
H8,0.2,M,Sodium sulfate,0.1,M,Bis-Tris propane,8.5,20,% w/v,PEG 3350
H9,0.2,M,Potassium sodium tartrate tetrahydrate,0.1,M,Bis-Tris propane,8.5,20,% w/v,PEG 3350
H10,0.02,M,Sodium/potassium phosphate,0.1,M,Bis-Tris propane,8.5,20,% w/v,PEG 3350
H11,0.2,M,Sodium citrate tribasic dihydrate,0.1,M,Bis-Tris propane,8.5,20,% w/v,PEG 3350
H12,0.2,M,Sodium malonate dibasic monohydrate,0.1,M,Bis-Tris propane,8.5,20,% w/v,PEG 3350
