Number,Well,Salt 1,Salt 2,Buffer ,Precipitant 1,Precipitant 2
25,C1, , ,0.1 M Sodium acetate pH 4.6,4 %(w/v) PEG 4000, 
26,C2, , , ,8 %(w/v) PEG 4000, 
27,C3, , ,0.1 M Sodium acetate pH 4.6,8 %(w/v) PEG 4000, 
28,C4,0.2 M Magnesium chloride, ,0.1 M MES pH 6.5,10 %(w/v) PEG 4000, 
29,C5,0.1 M Sodium acetate , ,0.1 M HEPES pH 7.5,12 %(w/v) PEG 4000, 
30,C6, , ,0.1 M TRIS pH 8.5,12 %(w/v) PEG 4000, 
31,C7,0.2 M Lithium sulfate, ,0.1 M TRIS pH 8.5,16 %(w/v) PEG 4000, 
32,C8,0.2 M Sodium acetate , ,0.1 M TRIS pH 8.5,16 %(w/v) PEG 4000, 
33,C9,0.2 M Magnesium chloride, ,0.1 M TRIS pH 8.5,16 %(w/v) PEG 4000, 
34,C10, , ,0.1 M Sodium acetate pH 4.6,18 %(w/v) PEG 4000, 
35,C11,0.2 M Lithium sulfate, ,0.1 M TRIS pH 8.5,20 %(w/v) PEG 4000, 
36,C12,0.2 M Calcium chloride, ,0.1 M TRIS pH 8.5,20 %(w/v) PEG 4000, 
37,D1,0.1 M Sodium acetate , ,0.1 M HEPES pH 7.5,22 %(w/v) PEG 4000, 
38,D2, , ,0.1 M Sodium acetate pH 4.6,25 %(w/v) PEG 4000, 
39,D3,0.2 M Magnesium chloride, ,0.1 M MES pH 6.5,25 %(w/v) PEG 4000, 
40,D4,0.2 M Calcium chloride, ,0.1 M TRIS pH 8.5,25 %(w/v) PEG 4000, 
41,D5, , , ,30 %(w/v) PEG 4000, 
42,D6,0.1 M Magnesium chloride, ,0.1 M Sodium acetate pH 4.6,30 %(w/v) PEG 4000, 
43,D7, , ,0.1 M MES pH 6.5,30 %(w/v) PEG 4000, 
44,D8,0.2 M Calcium chloride, ,0.1 M HEPES pH 7.5,30 %(w/v) PEG 4000, 
45,D9,0.2 M Lithium sulfate, ,0.1 M TRIS pH 8.5,30 %(w/v) PEG 4000, 
46,D10,0.2 M Sodium acetate , ,0.1 M TRIS pH 8.5,30 %(w/v) PEG 4000, 
47,D11,0.2 M Magnesium chloride, ,0.1 M TRIS pH 8.5,30 %(w/v) PEG 4000, 
48,D12, , , ,35 %(w/v) PEG 4000, 
49,E1, , ,0.1 M TRIS pH 8.5,8 %(w/v) PEG 4000,0.8 M Lithium chloride
50,E2, , , ,10 %(w/v) PEG 4000,20 %(w/v) Isopropanol
51,E3, , ,0.1 M tri-Sodium citrate pH 5.6,10 %(w/v) PEG 4000,10 %(w/v) Isopropanol
52,E4, , ,0.1 M HEPES pH 7.5,10 %(w/v) PEG 4000,5 %(w/v) Isopropanol
53,E5, , ,0.1 M HEPES pH 7.5,10 %(w/v) PEG 4000,20 %(w/v) Isopropanol
54,E6,0.2 M Ammonium sulfate, ,0.1 M Sodium acetate pH 4.6,12 %(w/v) PEG 4000, 
55,E7,0.2 M Ammonium sulfate, , ,15 %(w/v) PEG 4000, 
56,E8,0.2 M Ammonium sulfate, ,0.1 M tri-Sodium citrate pH 5.6,15 %(w/v) PEG 4000, 
57,E9,0.2 M Ammonium sulfate, ,0.1 M HEPES pH 7.5,16 %(w/v) PEG 4000,10 %(w/v) Isopropanol
58,E10,0.2 M Ammonium sulfate, , ,20 %(w/v) PEG 4000, 
59,E11,0.2 M Magnesium sulfate, , ,20 %(w/v) PEG 4000,10 %(w/v) Glycerol
60,E12,0.1 M tri-Sodium citrate, , ,20 %(w/v) PEG 4000,5 %(w/v) Isopropanol
61,F1,0.1 M tri-Sodium citrate, , ,20 %(w/v) PEG 4000,20 %(w/v) Isopropanol
62,F2, , ,0.1 M MES pH 6.5,20 %(w/v) PEG 4000,0.6 M Sodium chloride
63,F3, , ,0.1 M HEPES pH 7.5,20 %(w/v) PEG 4000,10 %(w/v) Isopropanol
64,F4,0.2 M Ammonium sulfate,0.1 M Sodium acetate , ,22 %(w/v) PEG 4000, 
65,F5,0.2 M Ammonium sulfate, ,0.1 M Sodium acetate pH 4.6,25 %(w/v) PEG 4000, 
66,F6,0.2 M Ammonium sulfate, ,0.1 M tri-Sodium citrate pH 5.6,25 %(w/v) PEG 4000, 
67,F7,0.2 M Lithium sulfate,0.1 M Sodium acetate ,0.1 M HEPES pH 7.5,25 %(w/v) PEG 4000, 
68,F8,0.1 M Sodium acetate , , ,25 %(w/v) PEG 4000,8 %(w/v) Isopropanol
69,F9,0.2 M Ammonium sulfate, , ,30 %(w/v) PEG 4000, 
70,F10,0.2 M Ammonium sulfate, ,0.1 M Sodium acetate pH 4.6,30 %(w/v) PEG 4000, 
71,F11,0.2 M Ammonium sulfate, ,0.1 M Sodium acetate-acetate pH 5.6,30 %(w/v) PEG 4000, 
72,F12, , ,0.1 M TRIS pH 8.5,32 %(w/v) PEG 4000,0.8 M Lithium chloride 
73,G1,0.2 M Lithium sulfate, ,0.1 M TRIS pH 8.5,25 %(w/v) PEG 5000 MME, 
74,G2,0.2 M Ammonium sulfate, ,0.1 M MES pH 6.5,30 %(w/v) PEG 5000 MME, 
75,G3,0.1 M Potassium chloride, ,0.1 M TRIS pH 8.5,3 %(w/v) PEG 6000, 
76,G4,0.01 M Magnesium chloride, , ,10 %(w/v) PEG 6000, 
77,G5,2.0 M Sodium chloride, , ,12 %(w/v) PEG 6000, 
78,G6, , , ,15 %(w/v) PEG 6000,5 %(w/v) Glycerol
79,G7,0.05 M Potassium chloride,0.01 M Magnesium chloride, ,15 %(w/v) PEG 6000, 
80,G8,0.01 M tri-Sodium citrate, , ,16 %(w/v) PEG 6000, 
81,G9, , ,0.05 M Imidazole pH 8.0,20 %(w/v) PEG 6000, 
82,G10,0.1 M Lithium chloride, ,0.1 M HEPES pH 7.5,25 %(w/v) PEG 6000, 
83,G11,0.5 M Lithium chloride, ,0.1 M TRIS pH 8.5,28 %(w/v) PEG 6000, 
84,G12,1.0 M Lithium chloride,0.1 M Sodium acetate , ,30 %(w/v) PEG 6000, 
85,H1,0.01 M tri-Sodium citrate, , ,33 %(w/v) PEG 6000, 
86,H2,0.5 M Lithium sulfate, , ,2 %(w/v) PEG 8000, 
87,H3,1.0 M Lithium sulfate, , ,2 %(w/v) PEG 8000, 
88,H4, , , ,4 %(w/v) PEG 8000, 
89,H5,0.2 M Lithium chloride,0.05 M Magnesium sulfate, ,8 %(w/v) PEG 8000, 
90,H6, , ,0.1 M TRIS pH 8.5,8 %(w/v) PEG 8000, 
91,H7,0.2 M Zinc acetate, ,0.1M Imidazole pH 6.5,10 %(w/v) PEG 8000, 
92,H8,0.2 M Calcium acetate, ,0.1 M HEPES pH 7.5,10 %(w/v) PEG 8000, 
93,H9,0.05 M Magnesium acetate,0.1 M Sodium acetate , ,10 %(w/v) PEG 8000, 
94,H10,0.2 M Magnesium acetate, , ,10 %(w/v) PEG 8000, 
95,H11, , ,0.1 M HEPES pH 7.5,10 %(w/v) PEG 8000,10 %(w/v) Ethylene Glycol
96,H12, , , ,10 %(w/v) PEG 8000,10 %(w/v) PEG 1000
