Well No.,Conc.,Units,Salt,Conc.,Units,Buffer,pH,Conc., ,Precipitant1,Conc.,Units,Preicpitant2,Conc.,Units,Precipitant3
E2,0.2,M,Potassium acetate,,,,,35,% v/v,Pentaerythritol propoxylate (5/4 PO/OH),,,,,,
E3,0.2,M,Potassium chloride,0.1,M,Glycine,9.5,20,% v/v,Pentaerythritol ethoxylate (15/4 EO/OH),,,,,,
E4,0.2,M,Sodium thiocyanate,0.1,M,HEPES,7,40,% v/v,Pentaerythritol propoxylate (5/4 PO/OH),,,,,,
E5,,,,,,,,25,% w/v,SOKALAN® CP 45,,,,,,
E6,0.2,M,Potassium acetate,0.1,M,MES,6,15,% v/v,Pentaerythritol ethoxylate (15/4 EO/OH),,,,,,
E7,0.1,M,Sodium malonate dibasic monohydrate,0.1,M,HEPES,7,30,% w/v,Poly(acrylic acid sodium salt) 2100,,,,,,
E8,,,,,,,,10,% v/v,PPGBA 230,10,% v/v,Jeffamine® M-600,10,% v/v,Ethanol
E9,0.1,M,Lithium sulfate,0.1,M,Tris,8,25,% v/v,Jeffamine® ED-2003,,,,,,
E10,,,,0.1,M,Tris,8,20,% w/v,SOKALAN® PA 25 CL,,,,,,
E11,0.1,M,Lithium sulfate,0.1,M,HEPES,6.5,25,% w/v,Poly(acrylic acid sodium salt) 2100,,,,,,
E12,0.2,M,Magnesium chloride hexahydrate,0.1,M,HEPES,7.5,15,% w/v,Poly(acrylic acid sodium salt) 2100,,,,,,
F1,,,,0.1,M,HEPES,6.5,40,% v/v,PPGBA 2000,,,,,,
F2,0.5,M,Sodium chloride,0.1,M,Tris,8,10,% w/v,Poly(acrylic acid sodium salt) 2100,,,,,,
F3,,,,0.1,M,Potassium/sodium phosphate,7,10,% v/v,PPGBA 230,15,% v/v,PPGBA 400,,,
F4,0.2,M,Sodium chloride,0.1,M,BICINE,9,20,% w/v,Poly(acrylic acid sodium salt) 2100,,,,,,
F5,0.2,M,Sodium malonate dibasic monohydrate,0.1,M,MES,5.5,20,% v/v,PPGBA 2000,,,,,,
F6,0.1,M ,Cesium chloride,,,,,25,% w/v,SOKALAN® CP 45,,,,,,
F7,,,,,,,,25,% w/v,SOKALAN® PA 25 CL,,,,,,
F8,0.2,M,Lithium nitrate,0.1,M,Bis-Tris,6.5,30,% v/v,PPGBA 400,,,,,,
F9,,,,0.1,M,Tris,8,20,% w/v,Poly(acrylic acid sodium salt) 5100,,,,,,
F10,,,,0.1,M,HEPES,7,28,% v/v,Polyethyleneimine,,,,,,
F11,0.1,M,Ammonium formate,0.1,M,HEPES,7,20,% w/v,SOKALAN® CP 7,,,,,,
F12,0.2,M,Sodium sulfate,0.1,M,Tris,8,20,% w/v,SOKALAN® HP 56,,,,,,
G1,0.1,M,Potassium chloride,0.1,M,HEPES,7,25,% w/v,SOKALAN® CP 7,,,,,,
G2,0.3,M,Ammonium formate,0.1,M,HEPES,7,20,% w/v,SOKALAN® CP 5,,,,,,
G3,,,,,,,,40,% v/v,Glycerol ethoxylate,,,,,,
G4,,,,0.1,M,Tris,8.5,30,% v/v,Glycerol ethoxylate,,,,,,
G5,,,,,,,,55,% v/v,Polypropylene glycol 400,,,,,,
G6,0.2,M,Lithium citrate tribasic tetrahydrate,,,,,35,% v/v,Glycerol ethoxylate,,,,,,
G7,0.2,M,Ammonium acetate,0.1,M,MES,6.5,30,% v/v,Glycerol ethoxylate,,,,,,
G8,,,,0.1,M,Tris,8,20,% w/v,SOKALAN® CP 42,5,% v/v,Methanol,,,
G9,,,,0.1,M,Tris,7,25,% w/v,SOKALAN® CP 42,10,% v/v,Tetrahydrofuran,,,
G10,0.1,M,Lithium acetate dihydrate,0.1,M,Bis-Tris,6,20,% w/v,SOKALAN® CP 42,,,,,,
G11,0.1,M ,Sodium chloride,0.1,M,Bis-Tris,5.5,20,% v/v,PPGBA 400,,,,,,
G12,,,,0.1,M,Bis-Tris,6,15,% w/v,SOKALAN® CP 5,,,,,,
H1,,,,0.1,M,Bis-Tris,6,25,% w/v,SOKALAN® CP 42,,,,,,
H2,0.2,M,Ammonium formate,,,,,25,% v/v,PPGBA 400,,,,,,
H3,,,,0.1,M,Tris,8.5,20,% v/v,Glycerol ethoxylate,3,% v/v,Polyethyleneimine,,,
H4,0.2,M,Ammonium chloride,0.1,M,HEPES,7.5,25,% v/v,Glycerol ethoxylate,,,,,,
H5,,,,0.1,M,Tris,8.5,10,% w/v,SOKALAN® CP 42,,,,,,
H6,,,,0.1,M,MES,6,30,% w/v,Poly(acrylic acid sodium salt) 5100,10,% v/v,Ethanol,,,
H7,0.2,M,Potassium citrate tribasic monohydrate,,,,,15,% w/v,SOKALAN® CP 42,,,,,,
H8,,,,0.1,M,Tris,8.5,30,% w/v,SOKALAN® CP 42,,,,,,
H9,0.2,M,Ammonium acetate,0.1,M,HEPES,7,25,% w/v,SOKALAN® HP 56,,,,,,
H10,,,,0.1,M,Tris,8.5,25,% w/v,SOKALAN® CP 5,,,,,,
H11,0.2,M,Ammonium formate,,,,,10,% w/v,Polyvinylpyrrolidone,20,% w/v,PEG 4000,,,
H12,,,,0.1,M,Tris,8,15,% w/v,Polyvinylpyrrolidone,25,% w/v,PEG 5000 MME,,,
