CS-206L,Precipitant 1,Precipitant 2,Buffer,Additive 1,Additive 2,Additive 3,Additive 4
D11,14.00 % v/v 2-Propanol,30.00 % v/v Glycerol,70.00 mM Sodium acetate; pH 4.6,140 mM Calcium chloride,None,None,None
D12,"16.00 % w/v Polyethylene glycol 8,000",20.00 % v/v Glycerol,None,40.00 mM Potassium di-hydrogen phosphate,None,None,None
E1,None,None,100 mM MES; pH 6.5,1.00 M tri-Sodium citrate,None,None,None
E2,2.00 M Ammonium sulfate,None,100 mM MES; pH 6.5,200 mM Sodium chloride,None,None,None
E3,10.00 % v/v 2-Propanol,None,100 mM HEPES; pH 7.5,200 mM Sodium chloride,None,None,None
E4,1.26 M Ammonium sulfate,None,100 mM TRIS; pH 8.5,200 mM Lithium sulfate,None,None,None
E5,"40.00 % v/v 2-Methyl-2,4-pentanediol",None,100 mM CAPS; pH 10.5,None,None,None,None
E6,"20.00 % w/v Polyethylene glycol 3,000",None,100 mM Imidazole; pH 8.0,200 mM Zinc acetate,None,None,None
E7,10.00 % v/v 2-Propanol,None,100 mM MES; pH 6.5,200 mM Zinc acetate,None,None,None
E8,None,None,100 mM Sodium acetate; pH 4.5,1.00 M di-Ammonium hydrogen phosphate,None,None,None
E9,None,None,100 mM MES; pH 6.5,1.6 M Magnesium sulfate,None,None,None
E10,"10.00 % w/v Polyethylene glycol 6,000",None,100 mM BICINE; pH 9.0,None,None,None,None
E11,"14.4 % w/v Polyethylene glycol 8,000",20.00 % v/v Glycerol,80.00 mM MES; pH 6.5,160 mM Calcium acetate,None,None,None
E12,"10.00 % w/v Polyethylene glycol 8,000",None,100 mM Imidazole; pH 8.0,None,None,None,None
F1,30.00 % v/v Jeffamine® M-600,None,100 mM MES; pH 6.5,50.00 mM Cesium chloride,None,None,None
F2,None,None,100 mM tri-Sodium citrate; pH 5.0,3.15 M Ammonium sulfate,None,None,None
F3,"20.00 % v/v 2-Methyl-2,4-pentanediol",None,100 mM TRIS; pH 8.0,None,None,None,None
F4,20.00 % v/v Jeffamine® M-600,None,100 mM HEPES; pH 7.5,None,None,None,None
F5,50.00 % v/v Ethylene glycol,None,100 mM TRIS; pH 8.5,200 mM Magnesium chloride,None,None,None
F6,"10.00 % v/v 2-Methyl-2,4-pentanediol",None,100 mM BICINE; pH 9.0,None,None,None,None
F7,None,None,None,800 mM di-Sodium succinate; pH 7.0,None,None,None
F8,None,None,None,2.1 M di-Sodium DL-malate; pH 7.0,None,None,None
F9,None,None,None,2.4 M di-Sodium malonate; pH 7.0,None,None,None
F10,0.5 % w/v Jeffamine® ED-2001; pH 7.0,None,100 mM HEPES; pH 7.0,1.1 M di-Sodium malonate; pH 7.0,None,None,None
F11,"1.00 % w/v Polyethylene glycol monomethyl ether 2,000",None,100 mM HEPES; pH 7.0,1.00 M di-Sodium succinate; pH 7.0,None,None,None
F12,30.00 % v/v Jeffamine® M-600; pH 7.0,None,100 mM HEPES; pH 7.0,None,None,None,None
G1,30.00 % w/v Jeffamine® ED-2001; pH 7.0,None,100 mM HEPES; pH 7.0,None,None,None,None
G2,"22.00 % w/v Poly(acrylic acid sodium salt) 5,100",None,100 mM HEPES; pH 7.5,20.00 mM Magnesium chloride,None,None,None
G3,20.00 % w/v Polyvinylpyrrolidone K15,None,100 mM TRIS; pH 8.5,100 mM Cobalt (II) chloride,None,None,None
G4,"20.00 % v/v Polyethylene glycol monomethyl ether 2,000",None,100 mM TRIS; pH 8.5,200 mM Trimethylamine N-oxide,None,None,None
G5,"12.00 % w/v Polyethylene glycol 3,350",None,100 mM HEPES; pH 7.5,5.00 mM Cobalt (II) chloride,5.00 mM Cadmium chloride,5.00 mM Nickel (II) chloride,5.00 mM Magnesium chloride
G6,"20.00 % w/v Polyethylene glycol 3,350",None,None,200 mM di-Sodium malonate; pH 7.0,None,None,None
G7,"15.00 % w/v Polyethylene glycol 3,350",None,None,100 mM di-Sodium succinate; pH 7.0,None,None,None
G8,"20.00 % w/v Polyethylene glycol 3,350",None,None,150 mM di-Sodium DL-malate; pH 7.0,None,None,None
G9,"30.00 % w/v Polyethylene glycol monomethyl ether 2,000",None,None,100 mM Potassium thiocyanate,None,None,None
G10,"30.00 % w/v Polyethylene glycol monomethyl ether 2,000",None,None,150 mM Potassium bromide,None,None,None
G11,None,None,100 mM BIS-TRIS; pH 5.5,2.00 M Ammonium sulfate,None,None,None
G12,None,None,100 mM BIS-TRIS; pH 5.5,3.00 M Sodium chloride,None,None,None
H1,None,None,100 mM BIS-TRIS; pH 5.5,300 mM Magnesium formate,None,None,None
H2,"1.00 % w/v Polyethylene glycol 3,350",None,100 mM BIS-TRIS; pH 5.5,1.00 M Ammonium sulfate,None,None,None
H3,"25.00 % w/v Polyethylene glycol 3,350",None,100 mM BIS-TRIS; pH 5.5,None,None,None,None
H4,"45.00 % v/v 2-Methyl-2,4-pentanediol",None,100 mM BIS-TRIS; pH 5.5,200 mM Calcium chloride,None,None,None
H5,"45.00 % v/v 2-Methyl-2,4-pentanediol",None,100 mM BIS-TRIS; pH 5.5,200 mM Ammonium acetate,None,None,None
H6,"17.00 % w/v Polyethylene glycol 10,000",None,100 mM BIS-TRIS; pH 5.5,100 mM Ammonium acetate,None,None,None
H7,"25.00 % w/v Polyethylene glycol 3,350",None,100 mM BIS-TRIS; pH 5.5,200 mM Ammonium sulfate,None,None,None
H8,"25.00 % w/v Polyethylene glycol 3,350",None,100 mM BIS-TRIS; pH 5.5,200 mM Sodium chloride,None,None,None
H9,"25.00 % w/v Polyethylene glycol 3,350",None,100 mM BIS-TRIS; pH 5.5,200 mM Lithium sulfate,None,None,None
H10,"25.00 % w/v Polyethylene glycol 3,350",None,100 mM BIS-TRIS; pH 5.5,200 mM Ammonium acetate,None,None,None
H11,"25.00 % w/v Polyethylene glycol 3,350",None,100 mM BIS-TRIS; pH 5.5,200 mM Magnesium chloride,None,None,None
H12,"45.00 % v/v 2-Methyl-2,4-pentanediol",None,100 mM HEPES; pH 7.5,200 mM Ammonium acetate,None,None,None
 ,,,,,,,
Version,0002,,,,,,
